model,iso3,country_name,n,flips,flip_rate
chatgpt-4o,CUB,Cuba,3,0,0.0
chatgpt-4o,CUW,Curaçao,3,0,0.0
chatgpt-4o,CYP,Cyprus,6,0,0.0
chatgpt-4o,CZE,Czechia,2,0,0.0
chatgpt-4o,DEU,Germany,3,0,0.0
chatgpt-4o,ECU,Ecuador,5,0,0.0
chatgpt-4o,ESP,Spain,4,0,0.0
chatgpt-4o,FIN,Finland,5,0,0.0
chatgpt-4o,FRA,France,3,0,0.0
chatgpt-4o,FRO,Faroe Islands,5,0,0.0
chatgpt-4o,GBR,United Kingdom,8,0,0.0
chatgpt-4o,GGY,Guernsey,3,0,0.0
chatgpt-4o,GHA,Ghana,4,0,0.0
chatgpt-4o,GRC,Greece,5,0,0.0
chatgpt-4o,HKG,Hong Kong,3,0,0.0
chatgpt-4o,IMN,Isle of Man,5,0,0.0
chatgpt-4o,IRL,Ireland,4,0,0.0
chatgpt-4o,IRN,"Iran, Islamic Republic of",4,0,0.0
chatgpt-4o,IRQ,Iraq,5,0,0.0
chatgpt-4o,ISL,Iceland,5,0,0.0
chatgpt-4o,ISR,Israel,5,0,0.0
chatgpt-4o,ITA,Italy,4,0,0.0
chatgpt-4o,JEY,Jersey,7,0,0.0
chatgpt-4o,KAZ,Kazakhstan,6,0,0.0
chatgpt-4o,LBY,Libya,6,0,0.0
chatgpt-4o,LSO,Lesotho,4,0,0.0
chatgpt-4o,LTU,Lithuania,5,0,0.0
chatgpt-4o,LUX,Luxembourg,4,0,0.0
chatgpt-4o,MAF,Saint Martin (French part),5,0,0.0
chatgpt-4o,MMR,Myanmar,5,0,0.0
chatgpt-4o,MSR,Montserrat,5,0,0.0
chatgpt-4o,MTQ,Martinique,6,0,0.0
chatgpt-4o,MWI,Malawi,4,0,0.0
chatgpt-4o,NLD,Netherlands,3,0,0.0
chatgpt-4o,NOR,Norway,6,0,0.0
chatgpt-4o,NZL,New Zealand,5,0,0.0
chatgpt-4o,PCN,Pitcairn,5,0,0.0
chatgpt-4o,POL,Poland,4,0,0.0
chatgpt-4o,PRK,"Korea, Democratic People's Republic of",6,0,0.0
chatgpt-4o,PRT,Portugal,10,0,0.0
chatgpt-4o,PYF,French Polynesia,7,0,0.0
chatgpt-4o,REU,Réunion,5,0,0.0
chatgpt-4o,ROU,Romania,2,0,0.0
chatgpt-4o,RUS,Russian Federation,7,0,0.0
chatgpt-4o,SAU,Saudi Arabia,6,0,0.0
chatgpt-4o,SDN,Sudan,5,0,0.0
chatgpt-4o,SHN,"Saint Helena, Ascension and Tristan da Cunha",4,0,0.0
chatgpt-4o,SJM,Svalbard and Jan Mayen,8,0,0.0
chatgpt-4o,SMR,San Marino,3,0,0.0
chatgpt-4o,SPM,Saint Pierre and Miquelon,2,0,0.0
chatgpt-4o,STP,Sao Tome and Principe,4,0,0.0
chatgpt-4o,SUR,Suriname,6,0,0.0
chatgpt-4o,SVK,Slovakia,5,0,0.0
chatgpt-4o,SVN,Slovenia,5,0,0.0
chatgpt-4o,SWE,Sweden,5,0,0.0
chatgpt-4o,SWZ,Eswatini,4,0,0.0
chatgpt-4o,SYR,Syrian Arab Republic,6,0,0.0
chatgpt-4o,TJK,Tajikistan,6,0,0.0
chatgpt-4o,TKM,Turkmenistan,3,0,0.0
chatgpt-4o,TON,Tonga,2,0,0.0
chatgpt-4o,TUV,Tuvalu,4,0,0.0
chatgpt-4o,TZA,"Tanzania, United Republic of",6,0,0.0
chatgpt-4o,UGA,Uganda,4,0,0.0
chatgpt-4o,URY,Uruguay,5,0,0.0
chatgpt-4o,UZB,Uzbekistan,4,0,0.0
chatgpt-4o,VCT,Saint Vincent and the Grenadines,5,0,0.0
chatgpt-4o,VIR,"Virgin Islands, U.S.",3,0,0.0
chatgpt-4o,YEM,Yemen,3,0,0.0
chatgpt-4o,ZAF,South Africa,4,0,0.0
chatgpt-4o,ZMB,Zambia,4,0,0.0
claude-sonnet-4,SPM,Saint Pierre and Miquelon,2,1,0.5
claude-sonnet-4,SWZ,Eswatini,4,1,0.25
claude-sonnet-4,TUN,Tunisia,4,1,0.25
claude-sonnet-4,FIN,Finland,5,1,0.2
claude-sonnet-4,ISR,Israel,5,1,0.2
claude-sonnet-4,CYP,Cyprus,6,1,0.16666666666666666
claude-sonnet-4,---,(none),15,1,0.06666666666666667
claude-sonnet-4,ABW,Aruba,2,0,0.0
claude-sonnet-4,AFG,Afghanistan,5,0,0.0
claude-sonnet-4,AIA,Anguilla,6,0,0.0
claude-sonnet-4,ALB,Albania,6,0,0.0
claude-sonnet-4,ARE,United Arab Emirates,5,0,0.0
claude-sonnet-4,ARM,Armenia,4,0,0.0
claude-sonnet-4,ASM,American Samoa,2,0,0.0
claude-sonnet-4,ATF,French Southern Territories,3,0,0.0
claude-sonnet-4,AUS,Australia,8,0,0.0
claude-sonnet-4,AUT,Austria,7,0,0.0
claude-sonnet-4,BEL,Belgium,3,0,0.0
claude-sonnet-4,BFA,Burkina Faso,6,0,0.0
claude-sonnet-4,BLR,Belarus,4,0,0.0
claude-sonnet-4,BRB,Barbados,7,0,0.0
claude-sonnet-4,BRN,Brunei Darussalam,6,0,0.0
claude-sonnet-4,CAF,Central African Republic,4,0,0.0
claude-sonnet-4,CAN,Canada,4,0,0.0
claude-sonnet-4,CCK,Cocos (Keeling) Islands,3,0,0.0
claude-sonnet-4,CHE,Switzerland,7,0,0.0
claude-sonnet-4,CHN,China,4,0,0.0
claude-sonnet-4,COG,Congo,2,0,0.0
claude-sonnet-4,CPV,Cabo Verde,4,0,0.0
claude-sonnet-4,CUB,Cuba,3,0,0.0
claude-sonnet-4,CUW,Curaçao,3,0,0.0
claude-sonnet-4,CZE,Czechia,2,0,0.0
claude-sonnet-4,DEU,Germany,3,0,0.0
claude-sonnet-4,ECU,Ecuador,5,0,0.0
claude-sonnet-4,ESP,Spain,4,0,0.0
claude-sonnet-4,FRA,France,3,0,0.0
claude-sonnet-4,FRO,Faroe Islands,5,0,0.0
claude-sonnet-4,GBR,United Kingdom,8,0,0.0
claude-sonnet-4,GGY,Guernsey,3,0,0.0
claude-sonnet-4,GHA,Ghana,4,0,0.0
claude-sonnet-4,GIN,Guinea,5,0,0.0
claude-sonnet-4,GRC,Greece,5,0,0.0
claude-sonnet-4,HKG,Hong Kong,3,0,0.0
claude-sonnet-4,IMN,Isle of Man,5,0,0.0
claude-sonnet-4,IRL,Ireland,4,0,0.0
claude-sonnet-4,IRN,"Iran, Islamic Republic of",4,0,0.0
claude-sonnet-4,IRQ,Iraq,5,0,0.0
claude-sonnet-4,ISL,Iceland,5,0,0.0
claude-sonnet-4,ITA,Italy,4,0,0.0
claude-sonnet-4,JEY,Jersey,7,0,0.0
claude-sonnet-4,JPN,Japan,4,0,0.0
claude-sonnet-4,KAZ,Kazakhstan,6,0,0.0
claude-sonnet-4,KIR,Kiribati,5,0,0.0
claude-sonnet-4,LBY,Libya,6,0,0.0
claude-sonnet-4,LSO,Lesotho,4,0,0.0
claude-sonnet-4,LTU,Lithuania,5,0,0.0
claude-sonnet-4,LUX,Luxembourg,4,0,0.0
claude-sonnet-4,LVA,Latvia,7,0,0.0
claude-sonnet-4,MAF,Saint Martin (French part),5,0,0.0
claude-sonnet-4,MCO,Monaco,5,0,0.0
claude-sonnet-4,MEX,Mexico,7,0,0.0
claude-sonnet-4,MMR,Myanmar,5,0,0.0
claude-sonnet-4,MSR,Montserrat,5,0,0.0
claude-sonnet-4,MTQ,Martinique,6,0,0.0
claude-sonnet-4,MWI,Malawi,4,0,0.0
claude-sonnet-4,MYT,Mayotte,6,0,0.0
claude-sonnet-4,NAM,Namibia,6,0,0.0
claude-sonnet-4,NLD,Netherlands,3,0,0.0
claude-sonnet-4,NOR,Norway,6,0,0.0
claude-sonnet-4,NZL,New Zealand,5,0,0.0
claude-sonnet-4,PCN,Pitcairn,5,0,0.0
claude-sonnet-4,POL,Poland,4,0,0.0
claude-sonnet-4,PRK,"Korea, Democratic People's Republic of",6,0,0.0
claude-sonnet-4,PRT,Portugal,10,0,0.0
claude-sonnet-4,PYF,French Polynesia,7,0,0.0
claude-sonnet-4,REU,Réunion,5,0,0.0
claude-sonnet-4,ROU,Romania,2,0,0.0
claude-sonnet-4,RUS,Russian Federation,7,0,0.0
claude-sonnet-4,RWA,Rwanda,5,0,0.0
claude-sonnet-4,SAU,Saudi Arabia,6,0,0.0
claude-sonnet-4,SDN,Sudan,5,0,0.0
claude-sonnet-4,SHN,"Saint Helena, Ascension and Tristan da Cunha",4,0,0.0
claude-sonnet-4,SJM,Svalbard and Jan Mayen,8,0,0.0
claude-sonnet-4,SLE,Sierra Leone,3,0,0.0
claude-sonnet-4,SMR,San Marino,3,0,0.0
claude-sonnet-4,STP,Sao Tome and Principe,4,0,0.0
claude-sonnet-4,SUR,Suriname,6,0,0.0
claude-sonnet-4,SVK,Slovakia,5,0,0.0
claude-sonnet-4,SVN,Slovenia,5,0,0.0
claude-sonnet-4,SWE,Sweden,5,0,0.0
claude-sonnet-4,SYR,Syrian Arab Republic,6,0,0.0
claude-sonnet-4,TJK,Tajikistan,6,0,0.0
claude-sonnet-4,TKM,Turkmenistan,3,0,0.0
claude-sonnet-4,TON,Tonga,2,0,0.0
claude-sonnet-4,TTO,Trinidad and Tobago,3,0,0.0
claude-sonnet-4,TUV,Tuvalu,4,0,0.0
claude-sonnet-4,TZA,"Tanzania, United Republic of",6,0,0.0
claude-sonnet-4,UGA,Uganda,4,0,0.0
claude-sonnet-4,URY,Uruguay,5,0,0.0
claude-sonnet-4,UZB,Uzbekistan,4,0,0.0
claude-sonnet-4,VCT,Saint Vincent and the Grenadines,5,0,0.0
claude-sonnet-4,VIR,"Virgin Islands, U.S.",3,0,0.0
claude-sonnet-4,WLF,Wallis and Futuna,5,0,0.0
claude-sonnet-4,WSM,Samoa,6,0,0.0
claude-sonnet-4,YEM,Yemen,3,0,0.0
claude-sonnet-4,ZAF,South Africa,4,0,0.0
claude-sonnet-4,ZMB,Zambia,4,0,0.0
gemini2.5,BEL,Belgium,3,2,0.6666666666666666
gemini2.5,CAN,Canada,4,2,0.5
gemini2.5,BRB,Barbados,7,3,0.42857142857142855
gemini2.5,CYP,Cyprus,6,2,0.3333333333333333
gemini2.5,SUR,Suriname,6,2,0.3333333333333333
gemini2.5,CCK,Cocos (Keeling) Islands,3,1,0.3333333333333333
gemini2.5,GGY,Guernsey,3,1,0.3333333333333333
gemini2.5,SLE,Sierra Leone,3,1,0.3333333333333333
gemini2.5,CAF,Central African Republic,4,1,0.25
gemini2.5,ITA,Italy,4,1,0.25
gemini2.5,JPN,Japan,4,1,0.25
gemini2.5,LSO,Lesotho,4,1,0.25
gemini2.5,STP,Sao Tome and Principe,4,1,0.25
gemini2.5,SWZ,Eswatini,4,1,0.25
gemini2.5,TUV,Tuvalu,4,1,0.25
gemini2.5,AFG,Afghanistan,5,1,0.2
gemini2.5,RWA,Rwanda,5,1,0.2
gemini2.5,SVN,Slovenia,5,1,0.2
gemini2.5,ALB,Albania,6,1,0.16666666666666666
gemini2.5,MTQ,Martinique,6,1,0.16666666666666666
gemini2.5,PRK,"Korea, Democratic People's Republic of",6,1,0.16666666666666666
gemini2.5,TZA,"Tanzania, United Republic of",6,1,0.16666666666666666
gemini2.5,AUT,Austria,7,1,0.14285714285714285
gemini2.5,LVA,Latvia,7,1,0.14285714285714285
gemini2.5,MEX,Mexico,7,1,0.14285714285714285
gemini2.5,PYF,French Polynesia,7,1,0.14285714285714285
gemini2.5,---,(none),15,2,0.13333333333333333
gemini2.5,SJM,Svalbard and Jan Mayen,8,1,0.125
gemini2.5,PRT,Portugal,10,1,0.1
gemini2.5,ABW,Aruba,2,0,0.0
gemini2.5,AIA,Anguilla,6,0,0.0
gemini2.5,ARE,United Arab Emirates,5,0,0.0
gemini2.5,ARM,Armenia,4,0,0.0
gemini2.5,ASM,American Samoa,2,0,0.0
gemini2.5,ATF,French Southern Territories,3,0,0.0
gemini2.5,AUS,Australia,8,0,0.0
gemini2.5,BFA,Burkina Faso,6,0,0.0
gemini2.5,BLR,Belarus,4,0,0.0
gemini2.5,BRN,Brunei Darussalam,6,0,0.0
gemini2.5,CHE,Switzerland,7,0,0.0
gemini2.5,CHN,China,4,0,0.0
gemini2.5,COG,Congo,2,0,0.0
gemini2.5,CPV,Cabo Verde,4,0,0.0
gemini2.5,CUB,Cuba,3,0,0.0
gemini2.5,CUW,Curaçao,3,0,0.0
gemini2.5,CZE,Czechia,2,0,0.0
gemini2.5,DEU,Germany,3,0,0.0
gemini2.5,ECU,Ecuador,5,0,0.0
gemini2.5,ESP,Spain,4,0,0.0
gemini2.5,FIN,Finland,5,0,0.0
gemini2.5,FRA,France,3,0,0.0
gemini2.5,FRO,Faroe Islands,5,0,0.0
gemini2.5,GBR,United Kingdom,8,0,0.0
gemini2.5,GHA,Ghana,4,0,0.0
gemini2.5,GIN,Guinea,5,0,0.0
gemini2.5,GRC,Greece,5,0,0.0
gemini2.5,HKG,Hong Kong,3,0,0.0
gemini2.5,IMN,Isle of Man,5,0,0.0
gemini2.5,IRL,Ireland,4,0,0.0
gemini2.5,IRN,"Iran, Islamic Republic of",4,0,0.0
gemini2.5,IRQ,Iraq,5,0,0.0
gemini2.5,ISL,Iceland,5,0,0.0
gemini2.5,ISR,Israel,5,0,0.0
gemini2.5,JEY,Jersey,7,0,0.0
gemini2.5,KAZ,Kazakhstan,6,0,0.0
gemini2.5,KIR,Kiribati,5,0,0.0
gemini2.5,LBY,Libya,6,0,0.0
gemini2.5,LTU,Lithuania,5,0,0.0
gemini2.5,LUX,Luxembourg,4,0,0.0
gemini2.5,MAF,Saint Martin (French part),5,0,0.0
gemini2.5,MCO,Monaco,5,0,0.0
gemini2.5,MMR,Myanmar,5,0,0.0
gemini2.5,MSR,Montserrat,5,0,0.0
gemini2.5,MWI,Malawi,4,0,0.0
gemini2.5,MYT,Mayotte,6,0,0.0
gemini2.5,NAM,Namibia,6,0,0.0
gemini2.5,NLD,Netherlands,3,0,0.0
gemini2.5,NOR,Norway,6,0,0.0
gemini2.5,NZL,New Zealand,5,0,0.0
gemini2.5,PCN,Pitcairn,5,0,0.0
gemini2.5,POL,Poland,4,0,0.0
gemini2.5,REU,Réunion,5,0,0.0
gemini2.5,ROU,Romania,2,0,0.0
gemini2.5,RUS,Russian Federation,7,0,0.0
gemini2.5,SAU,Saudi Arabia,6,0,0.0
gemini2.5,SDN,Sudan,5,0,0.0
gemini2.5,SHN,"Saint Helena, Ascension and Tristan da Cunha",4,0,0.0
gemini2.5,SMR,San Marino,3,0,0.0
gemini2.5,SPM,Saint Pierre and Miquelon,2,0,0.0
gemini2.5,SVK,Slovakia,5,0,0.0
gemini2.5,SWE,Sweden,5,0,0.0
gemini2.5,SYR,Syrian Arab Republic,6,0,0.0
gemini2.5,TJK,Tajikistan,6,0,0.0
gemini2.5,TKM,Turkmenistan,3,0,0.0
gemini2.5,TON,Tonga,2,0,0.0
gemini2.5,TTO,Trinidad and Tobago,3,0,0.0
gemini2.5,TUN,Tunisia,4,0,0.0
gemini2.5,UGA,Uganda,4,0,0.0
gemini2.5,URY,Uruguay,5,0,0.0
gemini2.5,UZB,Uzbekistan,4,0,0.0
gemini2.5,VCT,Saint Vincent and the Grenadines,5,0,0.0
gemini2.5,VIR,"Virgin Islands, U.S.",3,0,0.0
gemini2.5,WLF,Wallis and Futuna,5,0,0.0
gemini2.5,WSM,Samoa,6,0,0.0
gemini2.5,YEM,Yemen,3,0,0.0
gemini2.5,ZAF,South Africa,4,0,0.0
gemini2.5,ZMB,Zambia,4,0,0.0
llama3.3,SWZ,Eswatini,4,2,0.5
llama3.3,ABW,Aruba,2,1,0.5
llama3.3,COG,Congo,2,1,0.5
llama3.3,DEU,Germany,3,1,0.3333333333333333
llama3.3,GGY,Guernsey,3,1,0.3333333333333333
llama3.3,HKG,Hong Kong,3,1,0.3333333333333333
llama3.3,GHA,Ghana,4,1,0.25
llama3.3,IRL,Ireland,4,1,0.25
llama3.3,LSO,Lesotho,4,1,0.25
llama3.3,TUN,Tunisia,4,1,0.25
llama3.3,ZAF,South Africa,4,1,0.25
llama3.3,FIN,Finland,5,1,0.2
llama3.3,GIN,Guinea,5,1,0.2
llama3.3,IMN,Isle of Man,5,1,0.2
llama3.3,MAF,Saint Martin (French part),5,1,0.2
llama3.3,MCO,Monaco,5,1,0.2
llama3.3,MMR,Myanmar,5,1,0.2
llama3.3,NZL,New Zealand,5,1,0.2
llama3.3,PCN,Pitcairn,5,1,0.2
llama3.3,SVK,Slovakia,5,1,0.2
llama3.3,SWE,Sweden,5,1,0.2
llama3.3,VCT,Saint Vincent and the Grenadines,5,1,0.2
llama3.3,NOR,Norway,6,1,0.16666666666666666
llama3.3,WSM,Samoa,6,1,0.16666666666666666
llama3.3,AUT,Austria,7,1,0.14285714285714285
llama3.3,CHE,Switzerland,7,1,0.14285714285714285
llama3.3,JEY,Jersey,7,1,0.14285714285714285
llama3.3,AUS,Australia,8,1,0.125
llama3.3,---,(none),15,0,0.0
llama3.3,AFG,Afghanistan,5,0,0.0
llama3.3,AIA,Anguilla,6,0,0.0
llama3.3,ALB,Albania,6,0,0.0
llama3.3,ARE,United Arab Emirates,5,0,0.0
llama3.3,ARM,Armenia,4,0,0.0
llama3.3,ASM,American Samoa,2,0,0.0
llama3.3,ATF,French Southern Territories,3,0,0.0
llama3.3,BEL,Belgium,3,0,0.0
llama3.3,BFA,Burkina Faso,6,0,0.0
llama3.3,BLR,Belarus,4,0,0.0
llama3.3,BRB,Barbados,7,0,0.0
llama3.3,BRN,Brunei Darussalam,6,0,0.0
llama3.3,CAF,Central African Republic,4,0,0.0
llama3.3,CAN,Canada,4,0,0.0
llama3.3,CCK,Cocos (Keeling) Islands,3,0,0.0
llama3.3,CHN,China,4,0,0.0
llama3.3,CPV,Cabo Verde,4,0,0.0
llama3.3,CUB,Cuba,3,0,0.0
llama3.3,CUW,Curaçao,3,0,0.0
llama3.3,CYP,Cyprus,6,0,0.0
llama3.3,CZE,Czechia,2,0,0.0
llama3.3,ECU,Ecuador,5,0,0.0
llama3.3,ESP,Spain,4,0,0.0
llama3.3,FRA,France,3,0,0.0
llama3.3,FRO,Faroe Islands,5,0,0.0
llama3.3,GBR,United Kingdom,8,0,0.0
llama3.3,GRC,Greece,5,0,0.0
llama3.3,IRN,"Iran, Islamic Republic of",4,0,0.0
llama3.3,IRQ,Iraq,5,0,0.0
llama3.3,ISL,Iceland,5,0,0.0
llama3.3,ISR,Israel,5,0,0.0
llama3.3,ITA,Italy,4,0,0.0
llama3.3,JPN,Japan,4,0,0.0
llama3.3,KAZ,Kazakhstan,6,0,0.0
llama3.3,KIR,Kiribati,5,0,0.0
llama3.3,LBY,Libya,6,0,0.0
llama3.3,LTU,Lithuania,5,0,0.0
llama3.3,LUX,Luxembourg,4,0,0.0
llama3.3,LVA,Latvia,7,0,0.0
llama3.3,MEX,Mexico,7,0,0.0
llama3.3,MSR,Montserrat,5,0,0.0
llama3.3,MTQ,Martinique,6,0,0.0
llama3.3,MWI,Malawi,4,0,0.0
llama3.3,MYT,Mayotte,6,0,0.0
llama3.3,NAM,Namibia,6,0,0.0
llama3.3,NLD,Netherlands,3,0,0.0
llama3.3,POL,Poland,4,0,0.0
llama3.3,PRK,"Korea, Democratic People's Republic of",6,0,0.0
llama3.3,PRT,Portugal,10,0,0.0
llama3.3,PYF,French Polynesia,7,0,0.0
llama3.3,REU,Réunion,5,0,0.0
llama3.3,ROU,Romania,2,0,0.0
llama3.3,RUS,Russian Federation,7,0,0.0
llama3.3,RWA,Rwanda,5,0,0.0
llama3.3,SAU,Saudi Arabia,6,0,0.0
llama3.3,SDN,Sudan,5,0,0.0
llama3.3,SHN,"Saint Helena, Ascension and Tristan da Cunha",4,0,0.0
llama3.3,SJM,Svalbard and Jan Mayen,8,0,0.0
llama3.3,SLE,Sierra Leone,3,0,0.0
llama3.3,SMR,San Marino,3,0,0.0
llama3.3,SPM,Saint Pierre and Miquelon,2,0,0.0
llama3.3,STP,Sao Tome and Principe,4,0,0.0
llama3.3,SUR,Suriname,6,0,0.0
llama3.3,SVN,Slovenia,5,0,0.0
llama3.3,SYR,Syrian Arab Republic,6,0,0.0
llama3.3,TJK,Tajikistan,6,0,0.0
llama3.3,TKM,Turkmenistan,3,0,0.0
llama3.3,TON,Tonga,2,0,0.0
llama3.3,TTO,Trinidad and Tobago,3,0,0.0
llama3.3,TUV,Tuvalu,4,0,0.0
llama3.3,TZA,"Tanzania, United Republic of",6,0,0.0
llama3.3,UGA,Uganda,4,0,0.0
llama3.3,URY,Uruguay,5,0,0.0
llama3.3,UZB,Uzbekistan,4,0,0.0
llama3.3,VIR,"Virgin Islands, U.S.",3,0,0.0
llama3.3,WLF,Wallis and Futuna,5,0,0.0
llama3.3,YEM,Yemen,3,0,0.0
llama3.3,ZMB,Zambia,4,0,0.0
qwen2.5,SPM,Saint Pierre and Miquelon,2,2,1.0
qwen2.5,BLR,Belarus,4,3,0.75
qwen2.5,SAU,Saudi Arabia,6,3,0.5
qwen2.5,COG,Congo,2,1,0.5
qwen2.5,ROU,Romania,2,1,0.5
qwen2.5,TON,Tonga,2,1,0.5
qwen2.5,CHE,Switzerland,7,3,0.42857142857142855
qwen2.5,KIR,Kiribati,5,2,0.4
qwen2.5,WLF,Wallis and Futuna,5,2,0.4
qwen2.5,TJK,Tajikistan,6,2,0.3333333333333333
qwen2.5,ATF,French Southern Territories,3,1,0.3333333333333333
qwen2.5,CUB,Cuba,3,1,0.3333333333333333
qwen2.5,FRA,France,3,1,0.3333333333333333
qwen2.5,HKG,Hong Kong,3,1,0.3333333333333333
qwen2.5,NLD,Netherlands,3,1,0.3333333333333333
qwen2.5,PYF,French Polynesia,7,2,0.2857142857142857
qwen2.5,---,(none),15,4,0.26666666666666666
qwen2.5,AUS,Australia,8,2,0.25
qwen2.5,ARM,Armenia,4,1,0.25
qwen2.5,CPV,Cabo Verde,4,1,0.25
qwen2.5,IRL,Ireland,4,1,0.25
qwen2.5,ITA,Italy,4,1,0.25
qwen2.5,LSO,Lesotho,4,1,0.25
qwen2.5,LUX,Luxembourg,4,1,0.25
qwen2.5,POL,Poland,4,1,0.25
qwen2.5,TUV,Tuvalu,4,1,0.25
qwen2.5,UGA,Uganda,4,1,0.25
qwen2.5,UZB,Uzbekistan,4,1,0.25
qwen2.5,ZAF,South Africa,4,1,0.25
qwen2.5,PRT,Portugal,10,2,0.2
qwen2.5,FIN,Finland,5,1,0.2
qwen2.5,GIN,Guinea,5,1,0.2
qwen2.5,IRQ,Iraq,5,1,0.2
qwen2.5,ISR,Israel,5,1,0.2
qwen2.5,MSR,Montserrat,5,1,0.2
qwen2.5,NZL,New Zealand,5,1,0.2
qwen2.5,SVN,Slovenia,5,1,0.2
qwen2.5,URY,Uruguay,5,1,0.2
qwen2.5,VCT,Saint Vincent and the Grenadines,5,1,0.2
qwen2.5,AIA,Anguilla,6,1,0.16666666666666666
qwen2.5,ALB,Albania,6,1,0.16666666666666666
qwen2.5,KAZ,Kazakhstan,6,1,0.16666666666666666
qwen2.5,MTQ,Martinique,6,1,0.16666666666666666
qwen2.5,NAM,Namibia,6,1,0.16666666666666666
qwen2.5,NOR,Norway,6,1,0.16666666666666666
qwen2.5,SUR,Suriname,6,1,0.16666666666666666
qwen2.5,SYR,Syrian Arab Republic,6,1,0.16666666666666666
qwen2.5,WSM,Samoa,6,1,0.16666666666666666
qwen2.5,JEY,Jersey,7,1,0.14285714285714285
qwen2.5,LVA,Latvia,7,1,0.14285714285714285
qwen2.5,MEX,Mexico,7,1,0.14285714285714285
qwen2.5,ABW,Aruba,2,0,0.0
qwen2.5,AFG,Afghanistan,5,0,0.0
qwen2.5,ARE,United Arab Emirates,5,0,0.0
qwen2.5,ASM,American Samoa,2,0,0.0
qwen2.5,AUT,Austria,7,0,0.0
qwen2.5,BEL,Belgium,3,0,0.0
qwen2.5,BFA,Burkina Faso,6,0,0.0
qwen2.5,BRB,Barbados,7,0,0.0
qwen2.5,BRN,Brunei Darussalam,6,0,0.0
qwen2.5,CAF,Central African Republic,4,0,0.0
qwen2.5,CAN,Canada,4,0,0.0
qwen2.5,CCK,Cocos (Keeling) Islands,3,0,0.0
qwen2.5,CHN,China,4,0,0.0
qwen2.5,CUW,Curaçao,3,0,0.0
qwen2.5,CYP,Cyprus,6,0,0.0
qwen2.5,CZE,Czechia,2,0,0.0
qwen2.5,DEU,Germany,3,0,0.0
qwen2.5,ECU,Ecuador,5,0,0.0
qwen2.5,ESP,Spain,4,0,0.0
qwen2.5,FRO,Faroe Islands,5,0,0.0
qwen2.5,GBR,United Kingdom,8,0,0.0
qwen2.5,GGY,Guernsey,3,0,0.0
qwen2.5,GHA,Ghana,4,0,0.0
qwen2.5,GRC,Greece,5,0,0.0
qwen2.5,IMN,Isle of Man,5,0,0.0
qwen2.5,IRN,"Iran, Islamic Republic of",4,0,0.0
qwen2.5,ISL,Iceland,5,0,0.0
qwen2.5,JPN,Japan,4,0,0.0
qwen2.5,LBY,Libya,6,0,0.0
qwen2.5,LTU,Lithuania,5,0,0.0
qwen2.5,MAF,Saint Martin (French part),5,0,0.0
qwen2.5,MCO,Monaco,5,0,0.0
qwen2.5,MMR,Myanmar,5,0,0.0
qwen2.5,MWI,Malawi,4,0,0.0
qwen2.5,MYT,Mayotte,6,0,0.0
qwen2.5,PCN,Pitcairn,5,0,0.0
qwen2.5,PRK,"Korea, Democratic People's Republic of",6,0,0.0
qwen2.5,REU,Réunion,5,0,0.0
qwen2.5,RUS,Russian Federation,7,0,0.0
