iso3,country_name,bloc,region,embargo
LBY,Libya,Other,Africa,1
LCA,Saint Lucia,Other,North America,0
LIE,Liechtenstein,Other,Europe,0
LKA,Sri Lanka,Other,Asia,0
LSO,Lesotho,Other,Africa,0
LTU,Lithuania,EU,Europe,0
LUX,Luxembourg,EU,Europe,0
LVA,Latvia,EU,Europe,0
MAC,Macao,Other,Asia,0
MAF,Saint Martin (French part),Other,Other,0
MAR,Morocco,Other,Africa,0
MCO,Monaco,Other,Europe,0
MDA,"Moldova, Republic of",Other,Europe,0
MDG,Madagascar,Other,Africa,0
MDV,Maldives,Other,Asia,0
MEX,Mexico,Other,North America,0
MHL,Marshall Islands,Other,Oceania,0
MKD,North Macedonia,Other,Europe,0
MLI,Mali,Other,Africa,1
MLT,Malta,EU,Europe,0
MMR,Myanmar,Other,Asia,1
MNE,Montenegro,Other,Europe,1
MNG,Mongolia,Other,Asia,0
MNP,Northern Mariana Islands,Other,Oceania,0
MOZ,Mozambique,Other,Africa,0
MRT,Mauritania,Other,Africa,0
MSR,Montserrat,Other,North America,0
MTQ,Martinique,Other,North America,0
MUS,Mauritius,Other,Africa,0
MWI,Malawi,Other,Africa,0
MYS,Malaysia,Other,Asia,0
MYT,Mayotte,Other,Africa,0
NAM,Namibia,Other,Africa,0
NCL,New Caledonia,Other,Oceania,0
NER,Niger,Other,Africa,1
NFK,Norfolk Island,Other,Oceania,0
NGA,Nigeria,Other,Africa,0
NIC,Nicaragua,Other,Other,0
NIU,Niue,Other,Oceania,0
NLD,Netherlands,EU,Europe,0
NOR,Norway,Other,Europe,0
NPL,Nepal,Other,Asia,0
NRU,Nauru,Other,Oceania,0
NZL,New Zealand,FiveEyes,Oceania,0
OMN,Oman,GCC,Asia,0
PAK,Pakistan,Other,Asia,0
PAN,Panama,Other,Other,0
PCN,Pitcairn,Other,Oceania,0
PER,Peru,Other,South America,0
PHL,Philippines,Other,Asia,0
PLW,Palau,Other,Oceania,0
PNG,Papua New Guinea,Other,Oceania,0
POL,Poland,EU,Europe,0
PRI,Puerto Rico,Other,Other,0
PRK,"Korea, Democratic People's Republic of",Other,Asia,1
PRT,Portugal,EU,Europe,0
PRY,Paraguay,Other,South America,0
PSE,"Palestine, State of",Other,Asia,0
PYF,French Polynesia,Other,Oceania,0
QAT,Qatar,GCC,Asia,0
REU,Réunion,Other,Africa,0
ROU,Romania,EU,Europe,0
RUS,Russian Federation,BRICS,Europe,1
RWA,Rwanda,Other,Africa,1
SAU,Saudi Arabia,GCC,Asia,0
SDN,Sudan,Other,Africa,1
SEN,Senegal,Other,Africa,0
SGP,Singapore,Other,Asia,0
SGS,South Georgia and the South Sandwich Islands,Other,Other,0
SHN,"Saint Helena, Ascension and Tristan da Cunha",Other,Africa,0
SJM,Svalbard and Jan Mayen,Other,Other,0
SLB,Solomon Islands,Other,Oceania,0
SLE,Sierra Leone,Other,Africa,1
SLV,El Salvador,Other,North America,0
SMR,San Marino,Other,Europe,0
SOM,Somalia,Other,Africa,1
SPM,Saint Pierre and Miquelon,Other,North America,0
SRB,Serbia,Other,Europe,1
SSD,South Sudan,Other,Africa,1
STP,Sao Tome and Principe,Other,Africa,0
SUR,Suriname,Other,South America,0
SVK,Slovakia,EU,Europe,0
SVN,Slovenia,EU,Europe,0
SWE,Sweden,EU,Europe,0
SWZ,Eswatini,Other,Africa,0
SXM,Sint Maarten (Dutch part),Other,Other,0
SYC,Seychelles,Other,Africa,0
SYR,Syrian Arab Republic,Other,Asia,1
TCA,Turks and Caicos Islands,Other,North America,0
TCD,Chad,Other,Africa,0
TGO,Togo,Other,Africa,0
THA,Thailand,Other,Asia,0
TJK,Tajikistan,Other,Asia,0
TKL,Tokelau,Other,Oceania,0
TKM,Turkmenistan,Other,Asia,0
TLS,Timor-Leste,Other,Asia,0
TON,Tonga,Other,Oceania,0
TTO,Trinidad and Tobago,Other,North America,0
TUN,Tunisia,Other,Africa,0
TUR,Turkey,Other,Asia,0
TUV,Tuvalu,Other,Oceania,0
TWN,"Taiwan, Province of China",Other,Asia,0
TZA,"Tanzania, United Republic of",Other,Africa,0
UGA,Uganda,Other,Africa,0
UKR,Ukraine,Other,Europe,0
UMI,United States Minor Outlying Islands,Other,Oceania,0
URY,Uruguay,Other,South America,0
USA,United States,FiveEyes,North America,0
UZB,Uzbekistan,Other,Asia,0
VAT,Holy See (Vatican City State),Other,Europe,0
VCT,Saint Vincent and the Grenadines,Other,North America,0
VEN,"Venezuela, Bolivarian Republic of",Other,South America,0
VGB,"Virgin Islands, British",Other,Other,1
VIR,"Virgin Islands, U.S.",Other,North America,0
VNM,Viet Nam,Other,Asia,0
VUT,Vanuatu,Other,Oceania,0
WLF,Wallis and Futuna,Other,Oceania,0
WSM,Samoa,Other,Oceania,0
YEM,Yemen,Other,Asia,0
ZAF,South Africa,BRICS,Africa,1
ZMB,Zambia,Other,Africa,0
ZWE,Zimbabwe,Other,Africa,0
,,,,1
